Reference DOI,Reference URL,Reference Citation,Paper ID,Host Name,Host TaxonID,Virus Name,Virus TaxonID,Sampling Time,,Interaction Type ID,Study Type,Result Type,Measurement Method Name,Measurement Method ID,Result,Confidence Interval,Format,Statistical Method Name,Statistical Method ID,Misc Method Conditions,Use for Prevalence,Locality,LocalityID,Municipality,County,StateProvince,Country,Verbatim Locality,Field Site ID,Habitat Name,Habitat ID,Host Sex,Host Lifestage Name,Host Lifestage ID,Host Material Name,Host Material ID,Misc Host Attributes,,
10.3390/ani10101820,https://doi.org/10.3390/ani10101820,"Grzybek, M., Tołkacz, K., Sironen, T., Mäki, S., Alsarraf, M., Behnke-Borowczyk, J., Biernat, B., Nowicka, J., Vaheri, A., Henttonen, H., Behnke, J. M., & Bajer, A. (2020). Zoonotic Viruses in Three Species of Voles from Poland. Animals : an open access journal from MDPI, 10(10), 1820. https://doi.org/10.3390/ani10101820",R001-Grzybek2020,Microtus arvalis,,Puumala hantavirus | TULA orthohantavirus,,2013-08,,,Field observation,Prevalence,Immunofluorescence Assay,,1.3,0.1-79,Percentage,,,NA,1,Urwitałt,,Mazury Lake District,NA,NA,Poland,"53°48’50.25”N, 21°39’7.17”E",NA,,,Male | Female,Juveniles | Subadult | Adult,,Blood,MeSH:D001769,NA,,
10.3390/ani10101820,https://doi.org/10.3390/ani10101820,"Grzybek, M., Tołkacz, K., Sironen, T., Mäki, S., Alsarraf, M., Behnke-Borowczyk, J., Biernat, B., Nowicka, J., Vaheri, A., Henttonen, H., Behnke, J. M., & Bajer, A. (2020). Zoonotic Viruses in Three Species of Voles from Poland. Animals : an open access journal from MDPI, 10(10), 1820. https://doi.org/10.3390/ani10101820",R001-Grzybek2020,Microtus arvalis,,Cowpox viruses | Puumala hantavirus | TULA orthohantavirus | Lymphocytic choriomeningitis virus,,2013-08,,,Field observation,Host Species Total,NA,,51,NA,Positive integer,,,NA,0,Urwitałt,,Mazury Lake District,NA,NA,Poland,"53°48’50.25”N, 21°39’7.17”E",NA,,,Male | Female,Juveniles | Subadult | Adult,,Blood,MeSH:D001769,NA,,
10.3390/ani10101820,https://doi.org/10.3390/ani10101820,"Grzybek, M., Tołkacz, K., Sironen, T., Mäki, S., Alsarraf, M., Behnke-Borowczyk, J., Biernat, B., Nowicka, J., Vaheri, A., Henttonen, H., Behnke, J. M., & Bajer, A. (2020). Zoonotic Viruses in Three Species of Voles from Poland. Animals : an open access journal from MDPI, 10(10), 1820. https://doi.org/10.3390/ani10101820",R001-Grzybek2020,Microtus agrestis,,Cowpox viruses | Puumala hantavirus | TULA orthohantavirus | Lymphocytic choriomeningitis virus,,2013-08,,,Field observation,Host Species Total,NA,,10,NA,Positive integer,,,NA,0,Urwitałt,,Mazury Lake District,NA,NA,Poland,"53°48’50.25”N, 21°39’7.17”E",NA,,,Male | Female,Juveniles | Subadult | Adult,,Blood,MeSH:D001769,NA,,
10.3390/ani10101820,https://doi.org/10.3390/ani10101820,"Grzybek, M., Tołkacz, K., Sironen, T., Mäki, S., Alsarraf, M., Behnke-Borowczyk, J., Biernat, B., Nowicka, J., Vaheri, A., Henttonen, H., Behnke, J. M., & Bajer, A. (2020). Zoonotic Viruses in Three Species of Voles from Poland. Animals : an open access journal from MDPI, 10(10), 1820. https://doi.org/10.3390/ani10101820",R001-Grzybek2020,Alexandryomys oeconomus,,Cowpox viruses | Puumala hantavirus | TULA orthohantavirus | Lymphocytic choriomeningitis virus,,2013-08,,,Field observation,Host Species Total,NA,,16,NA,Positive integer,,,NA,0,Urwitałt,,Mazury Lake District,NA,NA,Poland,"53°48’50.25”N, 21°39’7.17”E",NA,,,Male | Female,Juveniles | Subadult | Adult,,Blood,MeSH:D001769,NA,,
10.3390/ani10101820,https://doi.org/10.3390/ani10101820,"Grzybek, M., Tołkacz, K., Sironen, T., Mäki, S., Alsarraf, M., Behnke-Borowczyk, J., Biernat, B., Nowicka, J., Vaheri, A., Henttonen, H., Behnke, J. M., & Bajer, A. (2020). Zoonotic Viruses in Three Species of Voles from Poland. Animals : an open access journal from MDPI, 10(10), 1820. https://doi.org/10.3390/ani10101820",R001-Grzybek2020,Microtus arvalis | Microtus agrestis | Alexandromys oeconomus,,Cowpox viruses | Puumala hantavirus | TULA orthohantavirus | Lymphocytic choriomeningitis virus,,2013-08,,,Field observation,Prevalence,Immunofluorescence Assay,,18.2,10.5-29.3,Percentage,,,Difference between sexes was not significant,1,Urwitałt,,Mazury Lake District,NA,NA,Poland,"53°48’50.25”N, 21°39’7.17”E",NA,,,Male | Female,Juveniles | Subadult | Adult,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,2010/2013,,,Field observation,Host Species Total,NA,,1304,NA,Positive integer,,,NA,0,NA,,Jeeser | Gotha | Billerbeck | Weissach,NA,Mecklenburg-Western Pomerania | Thuringia | North Rhine-Westphalia | Baden-Wuerttemberg,Germany,"54°9.75′ N, 13°15.55′ E | 50°57.38′ N, 10°39.13′ E | 51°59.63′ N, 7°18.99′ E | 48°49.88′ N, 8°57.71′ E",NA,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Spring 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,1 | 5 | 6,NA,Character string,,,NA,1,NA,,Weissach,NA,Baden-Wuerttemberg,Germany,"48°49.88′ N, 8°57.71′ E",1,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Spring 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,0 | 5 | 5,NA,Character string,,,NA,1,NA,,Weissach,NA,Baden-Wuerttemberg,Germany,"48°49.88′ N, 8°57.71′ E",3,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Spring 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,0 | 9 | 9,NA,Character string,,,NA,1,NA,,Jesser,NA,Mecklenburg-Western Pomerania,Germany,"54°9.75′ N, 13°15.55′ E",1,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,R002-Schmidt2021,,TULA orthohantavirus,,Spring 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,0 | 1 | 1,NA,Character string,,,NA,1,NA,,Jesser,NA,Mecklenburg-Western Pomerania,Germany,"54°9.75′ N, 13°15.55′ E",2,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
10.3390/v13061132,https://doi.org/10.3390/v13061132,"Schmidt, S., Reil, D., Jeske, K., Drewes, S., Rosenfeld, U. M., Fischer, S., Spierling, N. G., Labutin, A., Heckel, G., Jacob, J., Ulrich, R. G., & Imholt, C. (2021). Spatial and Temporal Dynamics and Molecular Evolution of Tula orthohantavirus in German Vole Populations. Viruses, 13(6), 1132. https://doi.org/10.3390/v13061132",R002-Schmidt2021,Microtus arvalis,,TULA orthohantavirus,,Spring 2010,,,Field observation,Positive-Negative-Total Count,Enzyme Linked Immunosorbent Assay,,0 | 3 | 3,NA,Character string,,,NA,1,NA,,Jesser,NA,Mecklenburg-Western Pomerania,Germany,"54°9.75′ N, 13°15.55′ E",3,,,Male | Female,NA,,Blood,MeSH:D001769,NA,,
